method_name,system_link,pdf_hash,efficacy_observed,application_conditions,results_summary,limitations,confidence,source,formatted_at,data_layer
Bacillus subtilis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,,,Utilisation ponctuelle pour préserver la production face à des entrées massives et précoces de certains ravageurs (aleurodes et acariens notamment).,Nécessité d'introductions d'auxiliaires et de traitements AB en cas d'entrées massives de ravageurs.,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus subtilis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,,,"Utilisation dans un système de biocontrôle visant à réguler les bioagresseurs, en combinaison avec des rotations longues et des associations culturales.",Des introductions d'auxiliaires et des traitements AB ont été effectués ponctuellement face à des entrées massives de certains ravageurs (aleurodes et acariens notamment).,0.8,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus thuringiensis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,,Utilisation ponctuelle pour préserver la production face à des entrées massives et précoces de certains ravageurs (aleurodes et acariens notamment).,Utilisation ponctuelle en complément de la régulation par les ennemis naturels indigènes.,Nécessité d'introductions d'auxiliaires et de traitements AB en cas d'entrées massives et précoces de certains ravageurs.,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Lecanicillium muscarium,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,"Face à des entrées massives et précoces de certains ravageurs (aleurodes et acariens notamment), des introductions d'auxiliaires et des traitements AB ont été effectués ponctuellement pour préserver la production.",null,Utilisation ponctuelle pour préserver la production face à des ravageurs comme les aleurodes.,Nécessité d'introductions d'auxiliaires et de traitements AB en cas d'entrées massives et précoces de ravageurs.,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus thuringiensis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,,Utilisation ponctuelle pour préserver la production face à des entrées massives et précoces de certains ravageurs (aleurodes et acariens notamment).,,Nécessité d'introductions d'auxiliaires et de traitements AB ponctuellement face à des ravageurs.,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phosphate ferrique,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,Cible : Limaces,Toutes cultures leg,,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Savon,https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf,6633f5e9e218,Contrôle des pucerons,,Utilisation en Agriculture Biologique pour le contrôle des pucerons.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus thuringiensis,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,cultures d'été,,efficacité partielle,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Hydrogénocarbonate de potassium,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,cultures d'été,,efficacité partielle,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Lecanicillium muscarium,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,Cultures d'été,,Aucune limitation mentionnée,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Macrolophus pygmaeus,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,Cible : Pucerons,,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Soufre,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,Non spécifié,,Efficacité partielle,0.5,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Laminarine,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,,"Utilisation dans un système de culture LongAB pour la gestion des bioagresseurs telluriques, notamment contre le mildiou de la laitue.","Les leviers disponibles en AB ont une efficacité partielle et des délais de retour trop courts, ce qui peut générer des situations sanitaires problématiques.",0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phosphate ferrique,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,,Utilisé en biocontrôle dans le cadre d'un système de culture LongAB pour la laitue.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,,Utilisation de phéromones pour le contrôle des noctuelles sur laitue dans un système de culture biologique.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,,Utilisation de phéromones pour le contrôle des noctuelles sur laitue dans un système de culture biologique.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Syrphes,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,"Culture : Melon, concombre, aubergine. Cible : Pucerons",,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Aphidius colemani,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,,Utilisé en biocontrôle pour lutter contre les pucerons.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_4SYSLEG_Al%C3%A9nya_T23LongAB.pdf,716eb55c0444,,,,Les effets sont partiels.,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
