dephy_term,dephy_term_normalized,matched_query,agrovoc_concept_id,agrovoc_uri,agrovoc_label,source,formatted_at,data_layer
Acide pélargonique,acide pélargonique,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Ail,ail,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Amblyseius swirskii,amblyseius swirskii,predatory mites,c_13564,http://aims.fao.org/aos/agrovoc/c_13564,predatory mites,llm_gemma3,2026-02-27T08:13:31Z,formatted
Anagrus atomus,anagrus atomus,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Anthocoris nemoralis,anthocoris nemoralis,predatory insects,c_36311,http://aims.fao.org/aos/agrovoc/c_36311,predatory insects,llm_gemma3,2026-02-27T08:13:31Z,formatted
Aphelinus mali,aphelinus mali,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Aphidius colemani,aphidius colemani,Aphidius colemani,,http://aims.fao.org/aos/agrovoc/c_d7a914cf,Aphidius colemani,llm_gemma3,2026-02-27T08:13:31Z,formatted
Aphidius matricariae,aphidius matricariae,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Aphidius sp.,aphidius sp.,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Aphidoletes aphidimyza,aphidoletes aphidimyza,predatory insects,c_36311,http://aims.fao.org/aos/agrovoc/c_36311,predatory insects,llm_gemma3,2026-02-27T08:13:31Z,formatted
Aphytis melinus,aphytis melinus,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Apport de fumier,apport de fumier,organic amendment,c_5387,http://aims.fao.org/aos/agrovoc/c_5387,organic matter,llm_gemma3,2026-02-27T08:13:31Z,formatted
Bacillus amyloliquefaciens,bacillus amyloliquefaciens,micro-organisms,c_4807,http://aims.fao.org/aos/agrovoc/c_4807,microorganisms,llm_gemma3,2026-02-27T08:13:31Z,formatted
Bacillus pumilus,bacillus pumilus,micro-organisms,c_4807,http://aims.fao.org/aos/agrovoc/c_4807,microorganisms,llm_gemma3,2026-02-27T08:13:31Z,formatted
Bandes de navettes,bandes de navettes,barriers,,http://aims.fao.org/aos/agrovoc/c_b42bc3b7,barriers,llm_gemma3,2026-02-27T08:13:31Z,formatted
Canavalia ensiformis (Fabacées),canavalia ensiformis (fabacées),companion planting,c_35927,http://aims.fao.org/aos/agrovoc/c_35927,companion planting,llm_gemma3,2026-02-27T08:13:31Z,formatted
Chitosan et pectine,chitosan et pectine,chitosan,c_28288,http://aims.fao.org/aos/agrovoc/c_28288,chitosan,llm_gemma3,2026-02-27T08:13:31Z,formatted
Coccinelles,coccinelles,predatory insects,c_36311,http://aims.fao.org/aos/agrovoc/c_36311,predatory insects,llm_gemma3,2026-02-27T08:13:31Z,formatted
"Coccinelles, rhizobius lophantae","coccinelles, rhizobius lophantae",predatory insects,c_36311,http://aims.fao.org/aos/agrovoc/c_36311,predatory insects,llm_gemma3,2026-02-27T08:13:31Z,formatted
